"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"291","NORTH BRISTOL NHS TRUST","RVJ","537","606","89%","21","27","78%","14","27","52%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"292","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","256","588","44%","219","227","96%","3","3","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"293","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","610","670","91%","304","336","90%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"294","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","279","444","63%","16","54","30%","7","7","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"295","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","354","389","91%","80","81","99%","22","24","92%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"296","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","279","279","100%","82","82","100%","19","19","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"297","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","834","1054","79%","86","86","100%","52","52","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"298","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","358","565","63%","299","358","84%","130","135","96%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"299","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","477","527","91%","80","84","95%","22","22","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"300","PORTSMOUTH HOSPITALS NHS TRUST","RHU","600","726","83%","59","59","100%","52","52","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"301","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","365","405","90%","45","45","100%","3","3","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"302","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","310","478","65%","19","44","43%","15","18","83%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"303","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","1","1","100%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"304","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","649","711","91%","48","50","96%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"305","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","155","159","97%","34","35","97%","10","11","91%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"306","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","495","526","94%","26","26","100%","3","3","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"307","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","50","306","16%","3","26","12%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"308","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","369","386","96%","47","47","100%","11","12","92%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"309","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","484","495","98%","65","67","97%","65","65","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"310","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","238","370","64%","9","9","100%","23","127","18%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"311","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","448","450","100%","51","51","100%","50","50","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"312","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","142","150","95%","20","20","100%","9","10","90%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"313","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","574","732","78%","401","526","76%","90","90","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"314","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","654","654","100%","290","290","100%","51","51","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"315","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","460","503","91%","53","53","100%","48","48","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"316","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","885","970","91%","216","216","100%","48","48","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"317","WALSALL HEALTHCARE NHS TRUST","RBK","463","518","89%","50","51","98%","23","24","96%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"318","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","604","628","96%","24","26","92%","12","13","92%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"319","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","211","229","92%","12","13","92%","16","16","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"320","WESTON AREA HEALTH NHS TRUST","RA3","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"321","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","303","774","39%","58","68","85%","44","44","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"322","WYE VALLEY NHS TRUST","RLQ","152","165","92%","1","1","100%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"323","","Total "," 21,376 "," 25,419 ","84.1%"," 4,161 "," 4,654 ","89.4%"," 1,733 "," 1,952 ","88.8%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"324","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"325","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"326","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"327","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"328","","","","","","","","`","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"329","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","289","372","78%","31","43","72%","8","8","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"330","AIREDALE NHS FOUNDATION TRUST","RCF","212","230","92%","20","22","91%","3","3","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"331","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","183","196","93%","17","17","100%","16","16","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"332","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","304","347","88%","-","-","-","-","-","-"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"333","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","401","412","97%","401","412","97%","5","5","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"334","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"335","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","379","501","76%","34","58","59%","5","19","26%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"336","BOLTON NHS FOUNDATION TRUST","RMC","263","279","94%","21","21","100%","11","11","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"337","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","320","320","100%","3","3","100%","3","3","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"338","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","330","334","99%","2","2","100%","0","0","-"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"339","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","456","472","97%","65","65","100%","46","46","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"340","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","549","578","95%","66","66","100%","60","60","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"341","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","361","388","93%","8","8","100%","8","8","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"342","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","113","119","95%","26","26","100%","26","26","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"343","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","292","293","100%","50","50","100%","29","29","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"344","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","244","244","100%","45","45","100%","36","36","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"345","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","479","480","100%","133","133","100%","67","67","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"346","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","230","259","89%","7","7","100%","6","6","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"347","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","578","636","91%","32","35","91%","11","13","85%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"348","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","531","574","93%","9","36","25%","5","7","71%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"349","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","638","700","91%","6","6","100%","4","4","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"350","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","112","265","42%","20","20","100%","29","29","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"351","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","728","730","100%","69","74","93%","30","30","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"352","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","289","294","98%","44","44","100%","42","42","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"353","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","252","279","90%","38","38","100%","17","17","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"354","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","557","636","88%","66","66","100%","24","24","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"355","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","383","472","81%","61","79","77%","41","41","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"356","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","175","193","91%","57","59","97%","24","24","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"357","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","507","524","97%","62","71","87%","23","28","82%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"358","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","131","137","96%","22","22","100%","10","10","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"359","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","791","1196","66%","129","139","93%","14","25","56%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"360","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","399","440","91%","35","38","92%","12","12","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"361","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","129","130","99%","128","130","98%","25","27","93%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"362","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","317","346","92%","32","35","91%","15","15","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"363","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","70","97","72%","70","70","100%","13","13","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"364","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","529","574","92%","128","128","100%","103","103","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"365","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","385","395","97%","121","121","100%","105","107","98%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"366","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","24","24","100%","1","1","100%","1","1","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"367","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","2","2","100%","0","0","-","0","0","-"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"368","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","284","289","98%","32","32","100%","15","15","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"369","MEDWAY NHS FOUNDATION TRUST","RPA","242","258","94%","29","30","97%","26","26","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"370","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","207","229","90%","13","13","100%","13","13","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"371","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","178","194","92%","19","20","95%","18","20","90%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"372","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","230","255","90%","29","30","97%","12","21","57%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"373","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"374","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","609","636","96%","56","59","95%","56","56","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"375","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","379","379","100%","43","43","100%","12","12","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"376","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","443","466","95%","36","36","100%","22","22","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"377","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","374","406","92%","47","49","96%","3","3","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"378","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","9","9","100%","1","1","100%","0","0","-"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"379","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","487","525","93%","309","310","100%","91","92","99%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"380","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","622","654","95%","187","187","100%","185","187","99%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"381","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","7","7","100%","1","1","100%","1","1","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"382","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","362","394","92%","108","108","100%","32","32","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"383","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","19","27","70%","1","1","100%","0","0","-"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"384","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","483","520","93%","472","472","100%","244","244","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"385","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","156","172","91%","168","168","100%","69","69","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"386","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","160","169","95%","15","15","100%","9","10","90%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"387","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","254","254","100%","27","27","100%","1","1","100%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"388","SALISBURY NHS FOUNDATION TRUST","RNZ","94","110","85%","64","67","96%","13","14","93%"," June 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
