"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1341","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","260","313","83.07%","23","27","85.19%","10","15","66.67%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1342","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","345","359","96.10%","32","32","100.00%","11","11","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1343","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","312","343","90.96%","10","10","100.00%","3","3","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1344","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","691","760","90.92%","75","82","91.46%","45","47","95.74%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1345","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","290","318","91.19%","39","41","95.12%","19","19","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1346","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","178","296","60.14%","9","9","100.00%","9","9","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1347","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","682","789","86.44%","173","173","100.00%","136","136","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1348","","Total ","28,418","34,023","83.53%","5,384","6,054","88.93%","2,508","2,613","95.98%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1349","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1350","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1351","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1352","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1353","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1354","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1355","","","","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1356","Non-Foundation Trusts",""," December 2013 ","","","","","","","",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1357","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed"," Number of cases referred "," Number of cases with positive or inconclusive diagnostic assessment ","Percentage of cases referred"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1358","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","338","908","37.22%","19","52","36.54%","13","52","25.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1359","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL","313","459","68.19%","18","53","33.96%","4","4","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1360","BARTS HEALTH NHS TRUST","R1H","473","961","49.22%","222","238","93.28%","26","218","11.93%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1361","BEDFORD HOSPITAL NHS TRUST","RC1","198","217","91.24%","16","16","100.00%","15","15","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1362","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","220","239","92.05%","45","45","100.00%","38","40","95.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1363","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","350","385","90.91%","166","184","90.22%","172","184","93.48%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1364","CROYDON HEALTH SERVICES NHS TRUST","RJ6","191","372","51.34%","24","32","75.00%","21","21","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1365","DARTFORD AND GRAVESHAM NHS TRUST","RN7","202","223","90.58%","24","24","100.00%","16","17","94.12%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1366","EALING HOSPITAL NHS TRUST","RC3","167","167","100.00%","9","11","81.82%","1","1","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1367","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","280","282","99.29%","58","58","100.00%","392","393","99.75%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1368","EAST CHESHIRE NHS TRUST","RJN","250","264","94.70%","45","47","95.74%","24","24","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1369","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","567","612","92.65%","125","132","94.70%","22","23","95.65%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1370","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","424","447","94.85%","58","60","96.67%","39","40","97.50%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1371","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","342","450","76.00%","55","64","85.94%","20","24","83.33%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1372","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","228","239","95.40%","8","8","100.00%","2","2","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1373","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","205","225","91.11%","13","13","100.00%","20","20","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1374","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","523","578","90.48%","47","48","97.92%","41","42","97.62%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1375","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","379","414","91.55%","267","296","90.20%","54","55","98.18%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1376","IPSWICH HOSPITAL NHS TRUST","RGQ","531","551","96.37%","82","83","98.80%","71","79","89.87%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1377","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1378","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","851","893","95.30%","62","64","96.88%","48","49","97.96%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1379","LEWISHAM AND GREENWICH NHS TRUST","RJ2","617","617","100.00%","145","145","100.00%","59","59","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1380","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","433","438","98.86%","55","55","100.00%","60","60","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1381","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","238","254","93.70%","21","22","95.45%","11","11","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1382","NORTH BRISTOL NHS TRUST","RVJ","547","601","91.01%","16","24","66.67%","12","24","50.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1383","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","-","-","","-","-","","-","-",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1384","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","457","507","90.14%","230","255","90.20%","0","0",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1385","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","151","244","61.89%","32","32","100.00%","4","5","80.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1386","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","306","401","76.31%","12","12","100.00%","6","8","75.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1387","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","301","324","92.90%","114","114","100.00%","2","2","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1388","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","644","766","84.07%","51","60","85.00%","13","51","25.49%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1389","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","428","715","59.86%","391","398","98.24%","103","119","86.55%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1390","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","474","692","68.50%","42","50","84.00%","7","7","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1391","PORTSMOUTH HOSPITALS NHS TRUST","RHU","523","897","58.31%","78","86","90.70%","66","73","90.41%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1392","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","115","489","23.52%","22","22","100.00%","3","3","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1393","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","312","546","57.14%","20","58","34.48%","7","11","63.64%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1394","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","657","693","94.81%","43","44","97.73%","10","10","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1395","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","74","79","93.67%","9","9","100.00%","4","4","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1396","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","477","582","81.96%","32","32","100.00%","6","6","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1397","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","16","390","4.10%","7","14","50.00%","5","6","83.33%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1398","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","352","380","92.63%","68","68","100.00%","16","17","94.12%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1399","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","566","609","92.94%","62","64","96.88%","62","62","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1400","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","305","464","65.73%","20","20","100.00%","19","147","12.93%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1401","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","169","430","39.30%","10","10","100.00%","10","10","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1402","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","165","182","90.66%","26","27","96.30%","7","7","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1403","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","760","857","88.68%","480","623","77.05%","56","56","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1404","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","781","781","100.00%","260","260","100.00%","29","29","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1405","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","481","513","93.76%","61","61","100.00%","60","60","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1406","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","908","988","91.90%","297","297","100.00%","76","76","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1407","WALSALL HEALTHCARE NHS TRUST","RBK","477","494","96.56%","132","132","100.00%","15","16","93.75%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1408","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","516","541","95.38%","29","32","90.63%","13","13","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1409","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","207","256","80.86%","19","20","95.00%","17","17","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1410","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1411","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","279","819","34.07%","47","49","95.92%","35","35","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1412","WYE VALLEY NHS TRUST","RLQ","181","200","90.50%","1","1","100.00%","1","1","100.00%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1413","","Total ","19,949","25,635","77.82%","4,195","4,624","90.72%","1,833","2,308","79.42%"," December 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1414","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","270","417","65%","25","44","57%","4","4","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1415","AIREDALE NHS FOUNDATION TRUST","RCF","238","303","79%","39","82","48%","2","3","67%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1416","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","320","336","95%","57","58","98%","31","31","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1417","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","253","337","75%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1418","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","353","488","72%","353","488","72%","9","9","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1419","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1420","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","319","586","54%","46","65","71%","0","8","0%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1421","BOLTON NHS FOUNDATION TRUST","RMC","331","332","100%","29","29","100%","23","23","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1422","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","351","351","100%","7","7","100%","7","7","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1423","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","392","399","98%","13","13","100%","7","7","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1424","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","477","507","94%","81","81","100%","50","50","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1425","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","584","617","95%","74","77","96%","69","69","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1426","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","359","391","92%","22","22","100%","15","15","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1427","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","131","143","92%","32","32","100%","32","32","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1428","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","387","388","100%","65","65","100%","34","34","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1429","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","319","320","100%","83","83","100%","63","63","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1430","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","578","581","99%","166","166","100%","105","106","99%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1431","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","299","315","95%","26","27","96%","19","20","95%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1432","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","608","673","90%","33","36","92%","13","18","72%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1433","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","558","594","94%","47","47","100%","13","13","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1434","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","749","775","97%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1435","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","100","299","33%","19","20","95%","12","12","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1436","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","785","789","99%","66","71","93%","92","92","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1437","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","331","333","99%","42","42","100%","37","37","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
