"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1647","","","","","","","","","","",""," January 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1648","","","","","","","","","","",""," January 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1649","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","309","341","91%","23","25","92%","4","4","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1650","AIREDALE NHS FOUNDATION TRUST","RCF","230","255","90%","24","26","92%","2","2","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1651","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","315","323","98%","47","47","100%","41","41","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1652","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","239","241","99%","70","70","100%","28","28","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1653","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","434","453","96%","434","453","96%","30","30","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1654","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1655","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","443","474","93%","36","39","92%","11","11","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1656","BOLTON NHS FOUNDATION TRUST","RMC","279","300","93%","32","32","100%","22","22","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1657","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","287","287","100%","3","3","100%","3","3","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1658","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","352","352","100%","1","1","100%","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1659","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","414","448","92%","70","72","97%","39","39","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1660","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","540","555","97%","60","64","94%","5","55","9%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1661","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","309","339","91%","10","11","91%","6","6","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1662","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","126","134","94%","19","19","100%","19","19","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1663","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","314","314","100%","64","64","100%","44","44","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1664","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","249","249","100%","53","53","100%","40","40","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1665","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","442","447","99%","169","169","100%","94","95","99%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1666","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","262","277","95%","10","10","100%","9","9","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1667","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","606","661","92%","30","32","94%","13","14","93%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1668","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","499","637","78%","18","54","33%","2","11","18%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1669","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","619","687","90%","17","17","100%","8","8","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1670","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","106","326","33%","35","35","100%","22","22","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1671","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","732","739","99%","80","88","91%","62","62","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1672","FRIMLEY HEALTH NHS FOUNDATION TRUST","RDU","737","769","96%","91","93","98%","45","45","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1673","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","303","318","95%","63","63","100%","30","30","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1674","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","543","644","84%","80","80","100%","29","29","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1675","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","378","396","95%","48","48","100%","26","26","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1676","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","222","234","95%","65","69","94%","26","26","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1677","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","542","549","99%","177","182","97%","35","36","97%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1678","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","160","166","96%","13","13","100%","12","12","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1679","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","1024","1164","88%","20","21","95%","7","15","47%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1680","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1681","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","263","282","93%","13","14","93%","9","9","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1682","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","57","66","86%","57","57","100%","8","8","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1683","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","508","527","96%","220","226","97%","198","198","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1684","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","421","444","95%","100","100","100%","89","91","98%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1685","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","45","46","98%","4","4","100%","1","1","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1686","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","2","2","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1687","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","299","312","96%","32","35","91%","12","12","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1688","MEDWAY NHS FOUNDATION TRUST","RPA","246","271","91%","66","71","93%","56","59","95%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1689","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","207","225","92%","18","18","100%","18","18","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1690","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","203","218","93%","68","68","100%","25","27","93%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1691","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1692","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","605","629","96%","50","53","94%","50","50","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1693","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","536","558","96%","111","111","100%","29","29","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1694","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","523","548","95%","33","33","100%","16","16","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1695","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","364","385","95%","38","39","97%","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1696","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","10","10","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1697","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","498","532","94%","309","309","100%","60","61","98%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1698","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","663","667","99%","663","667","99%","33","33","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1699","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","18","19","95%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1700","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","411","422","97%","111","111","100%","81","84","96%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1701","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","15","15","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1702","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","480","502","96%","473","473","100%","207","207","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1703","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","525","581","90%","169","169","100%","58","58","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1704","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","238","253","94%","24","26","92%","13","13","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1705","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","270","270","100%","50","50","100%","2","2","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1706","SALISBURY NHS FOUNDATION TRUST","RNZ","100","124","81%","16","17","94%","16","16","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1707","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","754","769","98%","220","220","100%","114","114","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1708","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","627","649","97%","13","13","100%","3","3","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1709","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","116","335","35%","15","32","47%","13","13","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1710","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","479","531","90%","58","63","92%","24","26","92%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1711","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","285","295","97%","111","116","96%","18","19","95%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1712","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","229","250","92%","37","39","95%","38","39","97%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1713","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","367","370","99%","171","171","100%","118","118","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1714","STOCKPORT NHS FOUNDATION TRUST","RWJ","353","357","99%","14","14","100%","11","11","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1715","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","318","349","91%","5","5","100%","1","1","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1716","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","200","363","55%","51","51","100%","19","19","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1717","THE CHRISTIE NHS FOUNDATION TRUST","RBV","17","17","100%","1","1","100%","1","1","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1718","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","9","11","82%","2","2","100%","1","1","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1719","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","556","568","98%","97","97","100%","46","46","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1720","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","152","154","99%","18","19","95%","14","14","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1721","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","441","484","91%","38","39","97%","15","16","94%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1722","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","221","241","92%","34","34","100%","34","34","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1723","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","1","1","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1724","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","235","269","87%","41","45","91%","1","16","6%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1725","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","325","569","57%","6","76","8%","0","2","0%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1726","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","27","27","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1727","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","6","7","86%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1728","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","5","5","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1729","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","92","92","100%","20","20","100%","20","20","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1730","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","305","308","99%","40","42","95%","31","31","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1731","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","591","601","98%","103","103","100%","48","49","98%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1732","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","486","494","98%","47","49","96%","10","10","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1733","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","211","273","77%","46","52","88%","13","16","81%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1734","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","348","381","91%","54","55","98%","32","32","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1735","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","347","366","95%","24","24","100%","6","6","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1736","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","339","358","95%","22","22","100%","18","18","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1737","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","739","821","90%","78","81","96%","38","38","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1738","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","620","654","95%","169","169","100%","38","38","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1739","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","281","350","80%","49","49","100%","28","28","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1740","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","121","289","42%","1","1","100%","1","1","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1741","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","610","723","84%","111","111","100%","82","82","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1742","ST GEORGE'S HEALTHCARE NHS TRUST","RJ7","322","349","92%","30","30","100%","10","11","91%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1743","","Total "," 30,657 "," 33,667 ","91.1%"," 6,213 "," 6,449 ","96.3%"," 2,541 "," 2,649 ","95.9%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1744","Non-Foundation Trusts","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
