"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"1690","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","338","398","85%","35","35","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1691","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","130","412","32%","7","7","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1692","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","777","825","94%","72","72","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1693","","Total ","35,083","39,388","89.07%","6,359","6,666","95.39%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1694","","","","","","","","","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1695","Non-Foundation Trusts","","January 2016","","","","","","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1696","Org name","Org code","Number of cases identified","Number of emergency admissions","Percentage of cases identified","Number of cases with diagnostic assessment ","Number of cases with positive case finding question","Percentage of cases with diagnostic assessment","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1697","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","622","626","99%","88","89","99%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1698","BARTS HEALTH NHS TRUST","R1H","761","811","94%","126","131","96%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1699","BEDFORD HOSPITAL NHS TRUST","RC1","250","270","93%","6","6","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1700","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","115","124","93%","14","14","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1701","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","538","592","91%","56","56","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1702","CROYDON HEALTH SERVICES NHS TRUST","RJ6","430","449","96%","41","45","91%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1703","DARTFORD AND GRAVESHAM NHS TRUST","RN7","200","216","93%","28","28","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1704","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","341","341","100%","72","72","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1705","EAST CHESHIRE NHS TRUST","RJN","238","250","95%","21","23","91%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1706","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","596","633","94%","138","142","97%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1707","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","498","526","95%","92","98","94%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1708","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","429","461","93%","125","143","87%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1709","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","208","229","91%","71","74","96%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1710","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","228","228","100%","14","14","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1711","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","525","582","90%","51","51","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1712","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","360","395","91%","215","234","92%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1713","IPSWICH HOSPITAL NHS TRUST","RGQ","487","487","100%","77","78","99%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1714","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1715","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","635","635","100%","36","36","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1716","LEWISHAM AND GREENWICH NHS TRUST","RJ2","631","631","100%","144","144","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1717","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","596","597","100%","78","78","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1718","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","389","431","90%","21","21","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1719","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","462","471","98%","190","190","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1720","NORTH BRISTOL NHS TRUST","RVJ","636","683","93%","32","35","91%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1721","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","249","522","48%","141","151","93%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1722","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","601","665","90%","313","340","92%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1723","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","652","716","91%","140","142","99%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1724","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","252","278","91%","58","58","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1725","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","137","292","47%","1","1","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1726","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1000","1163","86%","133","133","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1727","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","474","516","92%","39","43","91%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1728","PORTSMOUTH HOSPITALS NHS TRUST","RHU","458","477","96%","85","85","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1729","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","417","424","98%","51","51","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1730","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","498","522","95%","9","9","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1731","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1732","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","146","155","94%","26","26","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1733","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","591","611","97%","26","26","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1734","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","147","321","46%","12","12","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1735","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","368","373","99%","56","59","95%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1736","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","625","688","91%","56","59","95%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1737","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","289","328","88%","129","129","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1738","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","444","444","100%","30","30","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1739","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","212","227","93%","34","34","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1740","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","958","1044","92%","265","322","82%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1741","UNIVERSITY HOSPITALS OF NORTH MIDLANDS","RJE","875","912","96%","127","142","89%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1742","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","455","490","93%","57","57","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1743","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","923","987","94%","240","243","99%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1744","WALSALL HEALTHCARE NHS TRUST","RBK","565","641","88%","62","66","94%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1745","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","581","609","95%","35","36","97%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1746","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1747","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","839","856","98%","274","277","99%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1748","WYE VALLEY NHS TRUST","RLQ","146","162","90%","3","3","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1749","","Total ","23,077","25,091","91.97%","4,138","4,336","95.43%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1750","","","","","","","","","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1751","Community Service and Other Providers","","January 2016","","","","","","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1752","Org name","Org code","Number of cases identified","Number of emergency admissions","Percentage of cases identified","Number of cases with diagnostic assessment ","Number of cases with positive case finding question","Percentage of cases with diagnostic assessment","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1753","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","RWX","80","83","96%","21","22","95%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1754","BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST","RYW","162","175","93%","127","128","99%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1755","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","RV3","30","30","100%","5","5","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1756","EAST LONDON NHS FOUNDATION TRUST","RWK","28","28","100%","4","4","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1757","HERTFORDSHIRE COMMUNITY NHS TRUST","RY4","21","21","100%","1","1","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1758","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","RY9","2","2","100%","0","1","0%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1759","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","RYY","66","118","56%","28","28","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1760","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST","RY5","31","39","79%","4","4","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1761","LIVERPOOL COMMUNITY HEALTH NHS TRUST","RY1","37","39","95%","37","37","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1762","NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST","RY3","66","66","100%","9","11","82%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1763","NORTH EAST LONDON NHS FOUNDATION TRUST","RAT","319","344","93%","1","2","50%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1764","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","RP1","5","5","100%","0","0","-","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1765","ROTHERHAM, DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","RXE","89","91","98%","0","0","-","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1766","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","R1D","52","60","87%","5","9","56%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1767","SIRONA CIC","NLX","17","186","9%","5","5","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1768","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST","RH5","19","19","100%","19","19","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1769","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST","RXG","20","21","95%","9","9","100%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1770","WORCESTERSHIRE HEALTH AND CARE NHS TRUST","R1A","92","107","86%","1","2","50%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1771","YOUR HEALTHCARE CIC","NNV","196","196","100%","29","46","63%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1772","","Total ","1,332","1,630","81.72%","305","333","91.59%","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1773","","","","","","","","","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1774","","","","","","","","","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1775","","","","","","","","`","January 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1776","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","354","401","88%","22","27","81%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1777","AIREDALE NHS FOUNDATION TRUST","RCF","218","231","94%","36","36","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1778","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","366","383","96%","64","64","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1779","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","189","203","93%","48","48","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1780","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","689","741","93%","689","741","93%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1781","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","525","558","94%","90","90","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1782","BOLTON NHS FOUNDATION TRUST","RMC","291","291","100%","54","54","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1783","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","268","268","100%","2","2","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1784","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","386","398","97%","0","0","-","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1785","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","477","508","94%","81","81","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1786","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","584","601","97%","85","89","96%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1787","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","327","354","92%","5","5","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1788","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","215","235","91%","14","15","93%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1789","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","322","324","99%","69","69","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1790","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","326","326","100%","55","55","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1791","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","532","537","99%","164","164","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1792","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","298","312","96%","21","22","95%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1793","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","642","696","92%","22","23","96%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1794","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","475","512","93%","158","177","89%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1795","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","695","772","90%","6","6","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
"1796","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","92","220","42%","16","16","100%","February 2016","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/11/Dementia-Data-Collection-Q4-2015-16-REVISED-CSV-30KB.csv"
